# Cloud Billing Catalog API, service 152E-C115-5142 (Cloud Run), SKUs listing us-east4 — captured 2026-09-10T14:06:43-04:00 on yoga9i
# columns: skuId | description | usageUnit | unit price USD (last tier)
02A2-9231-36A6 | Services Memory (Request-based billing) | GiBy.s | 2.5e-06
151A-573F-AAAE | NVIDIA L4 GPU with zonal redundancy in us-east4 | s | 0.0002909
2C1D-AC2C-8A5B | Delayed Jobs Memory in us-east4 | GiBy.s | 1.4e-06
45AC-AC12-FDED | Instances Memory in us-east4 | GiBy.s | 1.93e-06
4856-B847-F1EB | Services CPU (Request-based billing) | s | 2.4e-05
6EFD-277D-5EAD | Delayed Jobs CPU in us-east4 | s | 1.26e-05
740D-08F2-7A11 | Services Min Instance Memory (Request-based billing) | GiBy.s | 2.5e-06
77E7-D935-BA67 | Worker Pools CPU in us-east4 | s | 1.1244e-05
7DB5-A0CF-D8EF | Services Memory (Instance-based billing) in us-east4 | GiBy.s | 2e-06
7EBB-8579-2C98 | Services Min Instance CPU (Request-based billing) | s | 2.5e-06
822B-0EF3-BCEF | Jobs Memory in us-east4 | GiBy.s | 2e-06
967D-19B3-F10F | Worker Pools Memory in us-east4 | GiBy.s | 1.235e-06
C709-E057-D6F9 | Jobs CPU in us-east4 | s | 1.8e-05
D2CD-FF9C-6AE8 | NVIDIA L4 GPU with no zonal redundancy in us-east4 | s | 0.0001867
D9C7-6AB3-0AA3 | Instances CPU in us-east4 | s | 2.7e-07
FF9E-15FF-19F8 | Services CPU (Instance-based billing) in us-east4 | s | 1.8e-05
